message_idx,dt_utc,symbol,side,leverage,entry_a,entry_b,sl,tp1,tp2,tp3,raw_text,entry_low,entry_high,entry_mid,zone_pct,sl_extra_pct,tp1_pct,tp2_pct,tp3_pct
53,2025-01-09T11:10:19+00:00,ORDI,long,30,23.797,21.831,20.67,24.019,24.307,24.846,"заходжу в ordi long 30x
📈
📣
точка входу: 23.797 - 21.831
✅
тейк-профіт: 24.019,24.307,24.846
🤚
стоп-лосс: 20.670
✍️
на графіку бачимо зміну характеру ціни, зверху buy side liquidity, зараз знаходимось в зоні 1h брейкер блоку ордерів, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",21.831,23.797,22.814,0.08617515560620677,0.053181256012092795,0.00932890700508458,0.021431272849518762,0.04408118670420639
58,2025-01-10T10:57:11+00:00,PYTH,long,30,0.339,0.3152,0.3072,0.3444,0.3522,0.3601,"заходжу в pyth long 30x
📈
📣
точка входу: 0.3390 - 0.3152
✅
тейк-профіт: 0.3444,0.3522,0.3601
🤚
стоп-лосс: 0.3072
✍️
на графіку бачим
о
бичий htf raid, також зміну характеру ціни, зверу buy side liquidity,
зараз знаходимось в зоні 1h брейкер блоку ордерів, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",0.3152,0.339,0.3271,0.07276062366248867,0.0253807106598985,0.01592920353982289,0.0389380530973451,0.06224188790560457
64,2025-01-11T10:43:15+00:00,XRP,long,30,2.3705,2.2366,2.1329,2.386,2.398,2.4991,"заходжу в xrp long 30x
📈
📣
точка входу: 2.3705 - 2.2366
✅
тейк-профіт: 2.3860,2.3980,2.4991
🤚
стоп-лосс: 2.1329
✍️
на графіку бачим
о
бичий htf raid, також зміну характеру ціни, зверу buy side liquidity,
зараз знаходимось в зоні 1h фвг, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",2.2366,2.3705,2.30355,0.05812767250548054,0.04636501833139602,0.006538704914575108,0.011600928074246068,0.05425015819447376
72,2025-01-13T12:20:52+00:00,XRP,long,30,2.3841,2.1986,2.0644,2.406,2.5106,2.604,"заходжу в xrp long 30x
📈
📣
точка входу: 2.3841 - 2.1986
✅
тейк-профіт: 2.4060,2.5106,2.6040
🤚
стоп-лосс: 2.0644
✍️
на графіку бачим
о
бичий наратив пілся htf raid, також зміну характеру ціни, звер
х
у buy side liquidity, зараз знаходимос
я
в зоні бичого ltf raid, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",2.1986,2.3841,2.29135,0.0809566412813408,0.061038842900027236,0.00918585629797409,0.05305985487185942,0.09223606392349314
79,2025-01-14T12:30:41+00:00,ORDI,long,30,24.928,23.147,22.586,25.45,25.739,26.378,"заходжу в ordi long 30x
📈
📣
точка входу: 24.928 - 23.147
✅
тейк-профіт: 25.450,25.739,26.378
🤚
стоп-лосс: 22.586
✍️
на графіку бачим
о
бичий наратив пілся htf raid, також зміну характеру ціни, звер
х
у buy side liquidity, зараз знаходимос
я
в зоні бичого ltf фвг, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",23.147,24.928,24.0375,0.0740925637025482,0.024236402125545425,0.02094030808729134,0.032533697047496785,0.0581675224646983
84,2025-01-15T12:38:30+00:00,GALA,long,30,0.03622,0.0329,0.03065,0.03671,0.03808,0.03887,"заходжу в gala long 30x
📈
📣
точка входу: 0.03622 - 0.03290
✅
тейк-профіт: 0.03671,0.03808,0.03887
🤚
стоп-лосс: 0.03065
✍️
на графіку бачим
о
бичий наратив пілся htf raid, також зміну характеру ціни, звер
х
у buy side liquidity, зараз знаходимос
я
в зоні бичого ltf фвг, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",0.0329,0.03622,0.03456,0.09606481481481491,0.06838905775075983,0.013528437327443328,0.051352843732744353,0.07316399779127553
89,2025-01-16T10:38:16+00:00,OP,long,30,1.8622,1.7201,1.6669,1.887,1.9136,1.9475,"заходжу в op long 30x
📈
📣
точка входу: 1.8622 - 1.7201
✅
тейк-профіт: 1.8870,1.9136,1.9475
🤚
стоп-лосс: 1.6669
✍️
на графіку бачим
о
бичий наратив пілся htf raid, також зміну характеру ціни, звер
х
у buy side liquidity, зараз знаходимос
я
в зоні бичого ltf фвг, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",1.7201,1.8622,1.79115,0.07933450576445307,0.030928434393349174,0.013317581355386066,0.02760176135753404,0.045806035871549744
96,2025-01-17T11:19:30+00:00,APT,long,30,9.7137,8.9952,8.4935,9.8523,10.0695,10.2381,"заходжу в apt long 30x
📈
📣
точка входу: 9.7137 - 8.9952
✅
тейк-профіт: 9.8523,10.0695,10.2381
🤚
стоп-лосс: 8.4935
✍️
на графіку бачим
о
бичий наратив пілся htf raid, також зміну характеру ціни, звер
х
у buy side liquidity, зараз знаходимос
я
в зоні бичого ltf фвг, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",8.9952,9.7137,9.35445,0.07680836393374264,0.055774190679473645,0.014268507365885325,0.03662867908212117,0.053985607955773805
100,2025-01-18T11:48:23+00:00,ONDO,long,30,1.3589,1.23,1.1617,1.3679,1.3912,1.4447,"заходжу в ondo long 30x
📈
📣
точка входу: 1.3589 - 1.2300
✅
тейк-профіт: 1.3679,1.3912,1.4447
🤚
стоп-лосс: 1.1617
✍️
на графіку бачим
о
бичий наратив пілся htf raid, також зміну характеру ціни, звер
х
у buy side liquidity, зараз знаходимос
я
в зоні бичого ltf фвг, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",1.23,1.3589,1.2944499999999999,0.0995789717640697,0.05552845528455287,0.006623003900213332,0.023769225108543672,0.06313930384870123
107,2025-01-20T11:57:44+00:00,XRP,long,30,3.3148,3.0371,2.8541,3.3878,3.4249,3.4993,"заходжу в xrp long 30x
📈
📣
точка входу: 3.3148 - 3.0371
✅
тейк-профіт: 3.3878,3.4249,3.4993
🤚
стоп-лосс: 2.8541
✍️
на графіку бачим
о
бичий наратив пілся htf raid, також зміну характеру ціни, звер
х
у buy side liquidity, зараз знаходимос
я
в зоні бичого ltf блоку ордерів, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",3.0371,3.3148,3.1759500000000003,0.08743840425699391,0.06025484837509475,0.02202244479304934,0.033214673585133365,0.05565946663448772
111,2025-01-21T11:28:37+00:00,TIA,long,30,4.7245,4.3096,4.03,4.8299,5.0398,5.2563,"заходжу в tia long 30x
📈
📣
точка входу: 4.7245 - 4.3096
✅
тейк-профіт: 4.8299,5.0398,5.2563
🤚
стоп-лосс: 4.0300
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні 1h брейкер блоку, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",4.3096,4.7245,4.517049999999999,0.09185198304202971,0.06487841098941884,0.02230923907291785,0.06673722086993326,0.11256217589162885
118,2025-01-22T11:15:12+00:00,PYTH,long,30,0.3272,0.2984,0.2802,0.3337,0.3445,0.3583,"заходжу в pyth long 30x
📈
📣
точка входу: 0.3272 - 0.2984
✅
тейк-профіт: 0.3337,0.3445,0.3583
🤚
стоп-лосс: 0.2802
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf фвг, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",0.2984,0.3272,0.31279999999999997,0.09207161125319692,0.06099195710455762,0.019865525672371657,0.05287286063569677,0.09504889975550128
123,2025-01-23T11:55:52+00:00,RENDER,long,25,6.885,6.397,5.961,6.917,7.159,7.341,"заходжу в render long 25x
📈
📣
точка входу: 6.885 - 6.397
✅
тейк-профіт: 6.917,7.159,7.341
🤚
стоп-лосс: 5.961
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf блоку ордерів, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",6.397,6.885,6.641,0.07348290920042155,0.06815694856964201,0.004647785039941907,0.03979665940450255,0.06623093681917218
129,2025-01-24T11:17:07+00:00,PYTH,long,30,0.3238,0.3035,0.2835,0.3274,0.3324,0.337,"заходжу в pyth long 30x
📈
📣
точка входу: 0.3238 - 0.3035
✅
тейк-профіт: 0.3274,0.3324,0.3370
🤚
стоп-лосс: 0.2835
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf фвг , звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",0.3035,0.3238,0.31365,0.06472182368882508,0.06589785831960468,0.011117974058060679,0.026559604694255706,0.04076590487955542
136,2025-01-26T11:43:28+00:00,ROSE,long,25,0.06564,0.06015,0.05608,0.06651,0.06722,0.06774,"заходжу в rose long 25x
📈
📣
точка входу: 0.06564 - 0.06015
✅
тейк-профіт: 0.06651,0.06722,0.06774
🤚
стоп-лосс: 0.05608
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf фвг , звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",0.06015,0.06564,0.062895,0.08728833770569999,0.0676641729010807,0.013254113345520959,0.024070688604509415,0.03199268738574026
140,2025-01-27T12:41:06+00:00,SOL,long,30,226.76,206.194,192.325,229.53,235.544,238.595,"заходжу в sol long 30x
📈
📣
точка входу: 226.760 - 206.194
✅
тейк-профіт: 229.530,235.544,238.595
🤚
стоп-лосс: 192.325
✍️
на графіку бачимо бичий ltf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні htf брейкер блоку ордерів , звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",206.194,226.76,216.47699999999998,0.09500316430844849,0.06726189898833138,0.012215558299523772,0.03873699065090854,0.052191744575762956
147,2025-01-28T11:49:18+00:00,VET,long,30,0.04556,0.04216,0.03959,0.04591,0.04747,0.04943,"заходжу в vet  long 30x
📈
📣
точка входу: 0.04556 - 0.04216
✅
тейк-профіт: 0.04591, 0.04747, 0.04943
🤚
стоп-лосс: 0.03959
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf блоку ордерів , звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",0.04216,0.04556,0.04386,0.07751937984496124,0.06095825426944978,0.007682177348551276,0.0419227392449516,0.0849429323968393
151,2025-01-29T12:08:32+00:00,XRP,long,30,3.0993,2.8392,2.7017,3.1368,3.1847,3.2589,"заходжу в xrp long 30x
📈
📣
точка входу: 3.0993  - 2.8392
✅
тейк-профіт: 3.1368,3.1847,3.2589
🤚
стоп-лосс: 2.7017
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf блоку ордерів , звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",2.8392,3.0993,2.9692499999999997,0.08759787825208387,0.04842913496759641,0.01209950634014135,0.027554609105281812,0.05149549898364153
155,2025-01-30T11:31:00+00:00,INJ,long,30,19.257,17.629,16.119,19.506,19.69,20.097,"заходжу в inj long 30x
📈
📣
точка входу: 19.257  - 17.629
✅
тейк-профіт: 19.506,19.690,20.097
🤚
стоп-лосс: 16.119
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf блоку ордерів , звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",17.629,19.257,18.443,0.0882719731063276,0.08565431958704416,0.012930362984888548,0.022485330009866532,0.0436205016357688
161,2025-01-31T11:19:58+00:00,ROSE,long,25,0.06226,0.0568,0.05247,0.06302,0.06401,0.0652,"заходжу в rose long 25x
📈
📣
точка входу: 0.06226  - 0.05680
✅
тейк-профіт: 0.06302,0.06401,0.06520
🤚
стоп-лосс: 0.05247
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf блоку ордерів , звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",0.0568,0.06226,0.05953,0.09171846128002686,0.07623239436619719,0.012206874397687178,0.02810793446835841,0.04722132990684213
168,2025-02-01T11:53:00+00:00,VET,long,30,0.04736,0.043,0.04018,0.04804,0.04888,0.0504,"заходжу в vet long 30x
📈
📣
точка входу: 0.04736  - 0.04300
✅
тейк-профіт: 0.04804,0.04888,0.05040
🤚
стоп-лосс: 0.04018
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf блоку ордерів , звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",0.043,0.04736,0.04518,0.09650287737937147,0.06558139534883713,0.014358108108108109,0.03209459459459461,0.06418918918918921
177,2025-02-04T11:23:51+00:00,LDO,long,30,1.8405,1.6476,1.4817,1.8632,1.9327,2.0759,"заходжу в ldo long 30x
📈
📣
точка входу: 1.8405  - 1.6476
✅
тейк-профіт: 1.8632,1.9327,2.0759
🤚
стоп-лосс: 1.4817
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf брейкер блоку ордерів , звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",1.6476,1.8405,1.74405,0.11060462716091858,0.1006919155134741,0.012333604998641641,0.050095082857919075,0.12790002716653073
182,2025-02-05T11:43:14+00:00,GALA,long,30,0.0233,0.02138,0.01998,0.02371,0.02439,0.02501,"заходжу в gala long 30x
📈
📣
точка входу: 0.02330  - 0.02138
✅
тейк-профіт: 0.02371,0.02439,0.02501
🤚
стоп-лосс: 0.01998
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf блоку ордерів , звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",0.02138,0.0233,0.02234,0.08594449418084162,0.06548175865294661,0.01759656652360503,0.0467811158798282,0.07339055793991414
189,2025-02-06T12:30:12+00:00,ONDO,long,30,1.378,1.2565,1.1861,1.4306,1.4744,1.5114,"заходжу в ondo long 30x
📈
📣
точка входу: 1.3780 - 1.2565
✅
тейк-профіт: 1.4306,1.4744,1.5114
🤚
стоп-лосс: 1.1861
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf інвертовоного fvg , звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",1.2565,1.378,1.31725,0.09223761624596694,0.05602865101472346,0.03817126269956474,0.06995645863570396,0.09680696661828751
194,2025-02-07T11:40:58+00:00,UNI,long,30,9.159,8.519,8.25,9.258,9.489,9.603,"заходжу в uni long 30x
📈
📣
точка входу: 9.159 - 8.519
✅
тейк-профіт: 9.258,9.489,9.603
🤚
стоп-лосс: 8.250
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf інвертовоного fvg , звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",8.519,9.159,8.839,0.07240638081230914,0.03157647611221976,0.0108090402882409,0.03603013429413692,0.048476907959384107
205,2025-02-10T12:23:16+00:00,GALA,long,30,0.0227,0.02141,0.02036,0.02302,0.02338,0.02393,"заходжу в gala long 30x
📈
📣
точка входу: 0.02270 - 0.02141
✅
тейк-профіт: 0.02302,0.02338,0.02393
🤚
стоп-лосс: 0.02036
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf блоку ордерів , звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",0.02141,0.0227,0.022054999999999998,0.058490138290637185,0.04904250350303591,0.014096916299559354,0.02995594713656388,0.05418502202643165
211,2025-02-11T11:20:59+00:00,JTO,long,30,2.6363,2.4597,2.382,2.6506,2.6771,2.7052,"заходжу в jto long 30x
📈
📣
точка входу: 2.6363 - 2.4597
✅
тейк-профіт: 2.6506,2.6771,2.7052
🤚
стоп-лосс: 2.3820
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf фвг та ltf raid, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",2.4597,2.6363,2.548,0.06930926216640489,0.03158921819734118,0.005424268861662171,0.015476235633273888,0.026135113606190565
217,2025-02-12T11:38:49+00:00,XRP,long,30,2.4196,2.2815,2.1997,2.4302,2.4673,2.5017,"заходжу в xrp long 30x
📈
📣
точка входу: 2.4196 - 2.2815
✅
тейк-профіт: 2.4302,2.4673,2.5017
🤚
стоп-лосс: 2.1997
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf блоку ордерів , звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",2.2815,2.4196,2.35055,0.058752206930292955,0.03585360508437426,0.00438088940320721,0.01971400231443208,0.03393122830219874
222,2025-02-13T11:09:20+00:00,APT,long,30,6.1911,5.732,5.597,6.2675,6.4098,6.5725,"заходжу в apt long 30x
📈
📣
точка входу: 6.1911 - 5.7320
✅
тейк-профіт: 6.2675,6.4098,6.5725
🤚
стоп-лосс: 5.5970
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf блоку ордерів та ltf raid, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",5.732,6.1911,5.96155,0.0770101735286963,0.023551988834612663,0.012340294939510018,0.03532490187527259,0.06160456138650647
226,2025-02-14T11:32:40+00:00,BLUR,long,30,0.1443,0.132,0.1281,0.146,0.1489,0.152,"заходжу в blur long 30x
📈
📣
точка входу: 0.1443 - 0.1320
✅
тейк-профіт: 0.1460,0.1489,0.1520
🤚
стоп-лосс: 0.1281
✍️
на графіку бачим
о
бичий htf raid, також зміну характеру ціни, зверу buy side liquidity,
зараз знаходимось в зоні 1h брейкер блоку ордерів, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",0.132,0.1443,0.13815,0.0890336590662324,0.029545454545454656,0.011781011781011637,0.03187803187803183,0.05336105336105325
231,2025-02-15T11:51:11+00:00,NEAR,long,30,3.4994,3.2023,3.0657,3.5291,3.616,3.778,"заходжу в near long 30x
📈
📣
точка входу: 3.4994 - 3.2023
✅
тейк-профіт: 3.5291,3.6160,3.7780
🤚
стоп-лосс: 3.0657
✍️
на графіку бачим
о
бичий htf raid, також зміну характеру ціни, зверу buy side liquidity,
зараз знаходимось в зоні 1h блоку ордерів, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",3.2023,3.4994,3.3508500000000003,0.08866407031051819,0.042656840395965415,0.008487169229010704,0.03331999771389382,0.07961364805395209
239,2025-02-18T11:24:23+00:00,TAO,long,20,365.55,329.19,312.5,371.87,390.27,405.39,"заходжу в tao long 20x
📈
📣
точка входу: 365.55 - 329.19
✅
тейк-профіт: 371.87,390.27,405.39
🤚
стоп-лосс: 312.50
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf фвг та ltf raid, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",329.19,365.55,347.37,0.104672251489766,0.05070020352987636,0.017289016550403484,0.06762412802626172,0.10898645876077137
244,2025-02-19T12:42:29+00:00,AAVE,long,30,255.26,240.44,229.61,259.49,265.94,272.93,"заходжу в aave long 30x
📈
📣
точка входу: 255.26 - 240.44
✅
тейк-профіт: 259.49,265.94,272.93
🤚
стоп-лосс: 229.61
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні бичого блоку ордерів, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",240.44,255.26,247.85,0.05979423038127897,0.04504242222591908,0.016571339026874632,0.04183969286217977,0.06922353678602217
250,2025-02-20T12:32:42+00:00,ENS,long,30,27.102,25.486,24.619,27.41,27.922,28.688,"заходжу в ens long 30x
📈
📣
точка входу: 27.102 - 25.486
✅
тейк-профіт: 27.410,27.922,28.688
🤚
стоп-лосс: 24.619
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні бичого блоку ордерів, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",25.486,27.102,26.294,0.06145888795923023,0.03401867692066236,0.011364474946498407,0.030256069662755528,0.058519666445280734
255,2025-02-21T11:20:01+00:00,ORDI,long,30,13.164,12.136,11.419,13.413,13.79,14.048,"заходжу в ordi long 30x
📈
📣
точка входу: 13.164 - 12.136
✅
тейк-профіт: 13.413,13.790,14.048
🤚
стоп-лосс: 11.419
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf фвг, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",12.136,13.164,12.649999999999999,0.0812648221343874,0.059080421885299834,0.018915223336371967,0.047553934974171944,0.06715284108173811
265,2025-02-24T11:59:52+00:00,PYTH,long,30,0.2322,0.2125,0.1996,0.2351,0.2486,0.2579,"заходжу в pyth long 30x
📈
📣
точка входу: 0.2322 - 0.2125
✅
тейк-профіт: 0.2351,0.2486,0.2579
🤚
стоп-лосс: 0.1996
✍️
на графіку бачимо бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимось в зоні ltf блоку ордерів, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",0.2125,0.2322,0.22235,0.08859905554306272,0.06070588235294115,0.012489233419466037,0.0706287683031869,0.11068044788975034
